infidel heathen
divide split
obligation duty
little small
beast creature
heaven paradise
forbid prohibit
approach near
curse oath
say tell
tidings news
way manner
answer reply
aware cognisant
dark darkness
stay remain
retribution requital
enclose enfold
main principal
fulfil accomplish
really truly
curse swear
ignominious shameful
jesus christ
intent intention
put lay
matter affair
complete finish
pervert deprave
place spot
measure step
adversity hardship
ask enquire inquire
keep maintain hold
deprivation want
sanction approve
disdain despise
lord creator divine
large big
disbeliever unbeliever
progeny offspring
go travel
make do
hide conceal
oblige compel
someone person
allow let
profit earnings
devil satan
evil wickedness
