,F_NB,P_NB,A_NB,T_NB,CLAS_NB,F_KNB,P_KNB,A_KNB,T_KNB,CLAS_KNB
"IMAN_1, SHALAT_1, ZAKAT_1, PUASA_1, HAJI_1",0.6492118387791574,0.656,0.656,0.5073723793029785,3 3 3 3 4 3 3 0 0 0 2 2 1 0 2 1 0 0 0 0 2 1 0 3 3 1 0 2 0 0 0 1 2 1 2 2 2 0 3 0 0 0 0 1 2 1 0 1 0 0 1 2 1 1 1 1 1 1 1 3 1 1 0 4 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 4 1 1 0 4 4 1 4 1 1 1 3 2 0 3 0 0 0 2 2 2 2 2 2 3 2 2 2 2 4 2 2 2 4 2 4 2 1 2 2 2 2 2 2 4 4 3 3 3 3 2 2 2 2 2 2 2 0 4 2 2 4 0 3 3 3 2 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 3 3 3 4 4 3 4 3 3 3 1 3 3 3 4 3 3 3 3 3 4 4 3 0 4 2 4 3 4 4 4 4 4 4 4 4 3 1 3 1 4 4 3 3 4 4 4 4 4 4 4 3 4 4 1 3 4 4 4 4 4 4 4 3 4 3 4 4 4 3,0.4004149060276409,0.4,0.008,4.495209693908691,1 4 1 1 1 2 1 4 4 4 1 4 2 2 1 4 4 1 4 3 3 0 4 1 4 2 4 4 4 4 4 2 4 2 3 4 4 4 4 4 2 4 4 3 4 4 4 4 4 4 3 4 2 0 2 2 0 4 4 4 0 2 4 0 2 0 4 4 2 2 0 0 2 0 3 0 3 0 2 3 2 2 2 0 4 4 2 4 2 2 3 4 3 0 0 2 0 2 3 1 1 1 4 1 1 4 4 1 0 1 0 4 4 4 4 4 0 1 1 4 4 0 0 0 4 4 4 1 1 3 0 1 0 0 0 1 1 4 1 3 4 0 0 4 1 4 0 4 1 0 4 0 0 1 4 0 4 1 1 1 1 0 1 2 0 0 0 1 1 1 0 1 1 2 0 0 2 0 1 0 0 4 1 1 2 1 0 2 2 1 0 1 4 4 1 1 4 1 0 0 0 0 1 2 1 1 0 1 0 1 2 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 2 0 2 0 0 0 1 2 1 0 0 2 2 2 2 0 1 0 0 0 1
"IMAN_1, SHALAT_1, ZAKAT_1, PUASA_1, HAJI_2",0.6458893405981664,0.652,0.652,0.5053706169128418,0 3 3 3 3 3 3 0 0 0 2 2 0 0 2 1 0 0 2 0 2 1 0 0 3 1 0 2 0 0 0 1 2 1 2 2 2 0 3 2 0 0 0 1 2 1 0 1 0 0 1 2 1 1 1 1 1 1 1 1 1 1 0 4 1 1 1 1 4 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 4 1 1 0 1 4 1 4 1 1 1 3 2 2 3 0 0 0 2 2 2 2 4 2 3 2 2 2 2 2 2 2 2 4 2 4 2 3 2 2 2 2 2 2 4 4 3 3 3 3 2 2 2 2 3 3 3 0 2 2 2 4 0 3 3 3 2 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 3 3 3 4 4 3 3 3 3 3 1 3 3 3 3 3 3 3 3 3 4 3 4 4 4 4 4 4 4 1 3 4 4 3 3 4 4 2 3 3 2 3 3 3 3 3 1 1 4 4 4 4 3 2 3 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4,0.43804646481338216,0.42399999999999993,0.012,4.642314672470093,1 1 1 1 1 0 1 4 1 4 1 1 2 2 1 2 4 1 1 3 3 4 2 1 4 2 4 4 4 4 4 2 4 4 4 4 4 4 4 4 2 4 4 3 3 4 4 2 4 4 3 1 2 2 2 2 0 4 4 4 0 4 4 0 2 0 4 4 2 2 0 2 2 0 3 0 3 0 2 3 2 2 2 0 4 3 2 4 2 4 3 4 4 0 0 2 0 2 3 1 1 1 4 1 1 4 1 1 0 1 0 4 1 4 4 1 0 1 1 1 1 0 0 0 0 0 4 1 1 1 0 1 0 0 0 1 1 0 1 1 4 0 0 1 1 4 0 1 1 0 4 0 0 1 0 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 4 0 0 4 0 1 0 0 0 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 4 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 1 1 1 1 1 1 0 1 0 0 0 3 2 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0
"IMAN_1, SHALAT_1, ZAKAT_1, PUASA_1, HAJI_3",0.6525391261781447,0.66,0.66,0.5063705444335938,0 3 3 3 3 3 3 0 0 0 2 2 1 0 2 1 0 4 2 0 2 1 0 0 3 1 0 2 0 0 0 1 2 1 2 2 2 0 3 2 0 0 0 1 2 1 0 1 0 0 1 2 1 1 1 1 1 1 1 3 1 1 0 4 1 1 1 1 4 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 4 1 4 1 1 1 3 2 2 3 0 0 0 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 4 2 4 2 3 2 2 2 2 2 2 4 4 3 3 3 3 2 2 2 2 3 3 3 0 2 2 2 4 0 3 3 3 2 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 3 3 3 4 4 3 4 3 3 3 1 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 2 4 3 0 2 4 3 1 4 3 4 3 4 1 4 4 3 3 4 4 3 4 4 3 4 3 3,0.443944027903266,0.42400000000000004,0.024,4.482207775115967,1 1 1 1 1 0 1 4 1 4 1 1 2 2 1 2 4 1 1 4 3 4 4 1 4 2 4 4 4 4 4 2 4 2 3 4 4 4 4 4 2 4 4 3 4 4 4 4 4 4 3 1 2 2 2 2 4 4 4 4 0 2 4 0 4 2 4 4 2 2 0 2 2 0 3 0 3 4 2 3 2 2 2 0 4 4 2 4 4 2 3 4 2 0 0 2 0 2 3 1 1 1 1 1 1 4 1 1 0 1 0 4 1 4 4 1 0 1 1 1 1 0 0 0 0 0 4 1 1 1 0 1 0 0 0 1 1 0 1 1 4 0 0 1 1 4 0 1 1 0 4 0 0 1 0 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 0 0 2 0 1 0 0 0 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 2 1 1 2 4 0 4 0 1 0 2 0 0 1 1 0 0 4 2 0 1 1 2 0
"IMAN_1, SHALAT_1, ZAKAT_1, PUASA_2, HAJI_1",0.5965695617408735,0.604,0.604,0.5093557834625244,3 3 3 3 4 3 3 0 0 0 2 2 3 0 3 1 0 3 2 0 2 1 0 3 3 4 0 2 3 0 0 1 2 1 2 2 0 0 3 2 0 0 0 1 3 1 3 1 0 0 1 2 1 1 1 1 1 1 1 1 1 3 0 4 1 1 1 1 4 3 2 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 4 3 1 0 4 4 1 4 1 1 1 3 2 3 3 0 0 0 2 2 2 2 2 2 3 2 2 3 2 4 2 2 2 4 2 3 2 3 2 3 3 2 3 2 4 4 3 3 3 4 2 2 2 2 3 2 3 0 4 2 2 4 4 3 3 3 3 4 3 4 3 3 3 3 3 1 3 3 3 3 4 3 3 3 3 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 3 3 3 3 4 4 3 0 3 3 4 3 4 4 4 4 4 4 4 4 3 1 3 1 4 4 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 4 4 4 3 4 3 4 4 4 3,0.4613025160206533,0.46,0.008,4.450180292129517,1 1 1 1 1 0 1 4 1 4 1 1 2 2 1 4 4 1 1 3 3 3 2 1 4 2 4 3 4 4 4 2 4 2 4 4 4 4 4 4 2 4 4 3 4 4 4 2 1 4 3 4 2 0 2 2 0 3 4 4 0 2 4 0 2 0 4 3 2 2 0 2 2 0 0 3 2 0 2 3 2 2 2 0 4 4 2 4 2 2 3 4 3 0 0 2 0 2 3 1 1 1 4 1 1 4 1 1 0 1 0 4 1 4 4 1 3 1 1 1 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0 1 1 4 0 0 1 1 4 0 4 1 0 0 0 1 0 0 0 1 1 1 1 1 0 0 4 1 1 0 0 0 1 1 1 1 1 4 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 1 1 0 1 1 0 0 1 2 1 1 0 1 0 1 2 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 1 0 0 0 1
"IMAN_1, SHALAT_1, ZAKAT_1, PUASA_2, HAJI_2",0.6129678577145128,0.624,0.624,0.5064005851745605,3 3 3 3 4 3 3 0 0 0 2 2 3 0 3 1 0 3 2 0 2 1 3 0 3 4 0 2 3 0 0 1 2 1 2 2 2 0 3 2 0 0 0 1 2 1 3 1 0 0 1 2 1 1 1 1 1 1 1 1 1 3 0 4 1 1 1 1 4 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 4 3 1 0 1 4 1 4 1 1 1 3 2 3 3 0 0 0 2 2 2 2 2 2 3 2 2 3 2 2 2 2 2 3 2 3 2 3 2 3 3 2 3 2 4 4 3 3 3 3 2 2 2 2 3 3 3 0 2 2 2 4 3 3 3 3 3 4 3 3 3 3 3 3 3 1 3 3 3 3 4 3 3 3 3 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 4 4 4 4 4 4 4 1 1 4 4 4 3 4 4 3 3 3 3 3 2 3 3 4 1 1 4 4 4 4 3 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0.4510556589693281,0.44000000000000006,0.012,4.5432446002960205,1 1 1 1 1 0 1 4 1 4 1 1 2 2 1 2 3 1 1 3 3 4 2 1 4 2 4 4 4 4 4 2 4 4 4 4 4 4 4 4 2 4 4 3 4 4 4 2 4 4 3 1 2 0 2 2 0 3 4 4 0 4 4 0 2 0 4 4 2 2 0 2 2 0 0 3 2 0 2 3 2 2 2 0 4 4 2 4 2 4 3 4 4 0 0 2 0 2 4 1 1 1 4 1 1 4 1 1 0 1 0 4 1 4 4 1 0 1 1 1 1 0 0 0 4 0 4 1 1 0 0 1 1 0 0 1 1 0 1 1 4 0 0 1 1 4 0 1 1 0 0 1 1 0 0 0 1 1 1 1 1 0 0 4 1 1 0 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 4 4 1 1 1 1 1 0 2 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 1 1 1 1 1 1 0 1 0 0 0 3 2 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0
"IMAN_1, SHALAT_1, ZAKAT_1, PUASA_2, HAJI_3",0.6036298427700086,0.612,0.612,0.5073604583740234,3 3 3 3 3 3 3 0 0 0 2 2 3 0 3 1 0 4 2 0 2 1 0 3 3 1 0 2 3 0 0 1 2 1 2 2 2 0 3 2 0 0 0 1 2 1 3 1 0 0 1 2 1 1 1 1 1 1 1 1 1 3 0 4 1 1 1 1 4 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 3 1 0 1 4 1 4 1 1 1 3 2 3 3 0 0 0 2 2 2 2 2 2 3 2 2 3 2 2 2 2 2 4 2 3 2 3 2 3 3 2 3 2 4 4 3 3 3 3 2 2 2 2 3 3 3 0 2 2 2 4 4 3 3 3 4 4 3 4 3 3 3 3 3 1 3 3 3 3 4 3 3 3 3 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 3 0 2 4 3 1 4 3 4 3 4 1 4 4 3 3 4 4 3 3 3 4 3 3 3,0.4275195074859367,0.41600000000000004,0.016,4.429163932800293,1 1 1 1 1 1 1 4 1 4 1 1 2 2 1 2 4 1 1 4 3 3 4 1 4 2 4 3 4 4 4 2 4 2 3 4 4 4 4 4 2 4 4 3 4 4 4 2 4 4 3 1 2 2 2 2 4 4 4 4 0 2 4 0 4 0 4 4 2 2 0 2 2 0 0 3 2 4 2 3 2 2 2 0 4 4 2 4 4 2 3 4 3 0 0 2 0 2 4 1 1 1 1 1 1 4 1 1 0 1 0 4 1 4 4 1 3 1 1 4 1 0 0 0 0 0 4 1 1 0 0 1 0 0 0 1 1 0 1 1 4 0 0 1 1 4 0 1 1 0 0 2 1 0 0 0 1 1 1 1 1 0 0 4 1 1 4 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 4 1 1 1 1 1 1 0 4 1 1 0 1 1 1 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 2 2 1 1 2 4 0 4 0 1 0 2 0 0 1 1 0 0 1 2 0 1 1 2 0
"IMAN_1, SHALAT_1, ZAKAT_1, PUASA_3, HAJI_1",0.6266732080573816,0.636,0.636,0.509361743927002,3 3 3 3 4 3 3 0 0 0 2 2 3 0 3 1 0 0 2 0 2 1 0 0 3 1 0 2 3 0 0 1 2 1 2 3 2 0 3 2 0 0 0 1 3 2 0 1 0 0 1 2 1 1 1 1 1 1 1 3 1 1 3 4 1 1 1 1 4 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 4 1 1 0 4 4 1 4 1 1 1 3 2 3 3 0 0 0 2 2 2 2 2 2 3 2 3 2 2 4 2 2 2 4 2 3 2 3 2 3 3 2 3 2 4 4 3 3 2 3 3 2 2 3 3 3 3 0 4 2 2 4 3 4 4 3 3 3 3 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 4 4 3 2 1 4 4 3 0 4 2 4 3 4 4 4 4 4 4 4 4 4 1 4 1 4 4 4 2 4 4 4 4 4 4 4 3 4 4 4 4 4 3 4 4 4 4 4 4 4 3 4 4 4 4,0.48253811851189515,0.4920000000000001,0.012,4.521265268325806,1 1 1 1 1 1 1 4 1 4 1 1 2 2 1 4 4 1 1 3 0 0 4 1 4 2 4 1 4 4 4 2 4 2 4 4 4 4 4 4 2 4 4 3 4 4 4 4 4 4 3 4 2 0 2 2 0 3 4 4 0 2 4 3 2 3 3 4 2 2 0 2 2 0 0 0 2 0 2 0 2 2 2 0 4 4 2 4 2 2 3 4 3 0 0 2 0 2 4 1 1 1 4 1 1 4 1 1 0 1 0 4 1 4 4 1 0 1 1 1 1 0 0 0 0 0 4 1 1 1 0 1 0 0 0 1 1 0 1 1 4 0 0 1 1 4 0 4 1 0 0 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 4 0 0 1 3 1 1 0 1 0 1 2 0 1 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 2 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1
"IMAN_1, SHALAT_1, ZAKAT_1, PUASA_3, HAJI_2",0.5923443936658759,0.596,0.596,0.5083725452423096,3 3 3 3 3 3 3 0 0 0 2 2 3 0 2 1 0 0 2 0 2 1 0 0 3 1 0 2 3 0 0 1 2 3 2 3 2 0 3 3 0 0 0 1 2 1 3 1 0 0 1 2 1 1 1 1 1 1 1 1 1 1 3 4 1 1 1 1 4 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 4 1 1 0 1 4 1 4 1 1 1 3 2 3 3 0 0 0 2 2 2 2 4 2 3 2 3 2 2 2 2 2 2 4 2 3 2 3 2 3 3 2 3 2 4 4 3 3 2 3 3 2 2 3 3 3 3 0 3 2 2 4 3 4 4 3 3 3 3 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 2 4 3 2 1 4 3 4 4 4 4 4 3 3 3 3 4 4 3 3 4 4 2 3 3 3 3 3 3 2 3 1 1 4 4 4 4 4 3 3 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4,0.4691739239979406,0.468,0.008,4.61429500579834,1 1 1 1 1 1 1 4 1 4 1 1 2 2 1 2 3 1 4 3 0 4 2 1 4 2 4 4 4 4 4 2 4 4 4 4 4 4 4 4 2 4 4 3 4 4 4 2 4 4 3 4 2 0 2 2 0 3 4 4 0 4 4 3 2 3 4 4 2 2 0 2 2 0 0 0 2 0 2 0 2 2 2 0 4 4 2 4 2 4 3 4 4 0 0 2 0 2 4 1 1 1 4 1 1 4 1 1 0 1 0 4 1 4 4 1 0 1 1 1 1 0 0 0 0 0 4 1 1 1 0 1 0 0 0 1 1 0 1 1 4 0 0 1 1 4 1 1 1 0 0 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 4 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 1 1 1 1 1 1 0 1 0 3 0 2 2 1 0 0 1 0 0 1 0 0 1 0 1 0 0 2 0 0 0 1 0
"IMAN_1, SHALAT_1, ZAKAT_1, PUASA_3, HAJI_3",0.6148081522886159,0.6200000000000001,0.62,0.5083742141723633,3 3 3 3 3 3 3 0 0 0 2 2 3 0 3 1 0 4 2 0 2 1 0 0 3 1 0 2 3 0 0 1 2 1 2 3 2 0 3 0 0 0 0 1 2 1 0 1 0 0 1 3 1 1 1 1 1 1 1 1 1 1 0 4 1 1 1 1 4 1 3 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 3 0 1 1 1 0 1 4 1 4 1 1 1 3 2 3 3 0 0 0 2 2 2 2 2 2 3 2 3 2 2 3 2 2 2 4 2 3 2 3 2 3 3 2 3 2 4 4 3 3 2 3 3 2 2 3 3 3 3 0 3 2 2 4 3 4 4 3 3 3 3 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 4 4 3 0 1 4 4 4 4 4 4 4 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 1 0 3 4 3 1 4 3 4 0 4 1 3 4 3 3 4 4 0 4 4 4 4 3 3,0.46803939828330077,0.464,0.016,4.494208812713623,1 1 1 1 1 1 1 4 1 4 1 1 2 2 1 2 4 1 1 4 0 4 4 1 4 2 4 4 4 4 4 2 4 2 4 4 4 4 4 4 2 4 4 3 4 4 4 4 4 4 3 4 2 2 2 2 4 4 4 4 0 2 4 3 4 3 4 4 2 2 0 2 2 0 0 0 2 4 2 4 2 2 2 0 4 4 2 4 4 2 3 4 3 0 0 2 0 2 4 1 1 1 1 1 1 4 1 1 0 1 0 4 1 4 4 1 0 1 1 1 1 0 0 0 0 0 4 1 1 1 0 1 0 0 0 1 1 0 1 1 4 0 0 1 1 4 1 1 1 0 0 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 4 4 1 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 2 2 1 1 2 4 0 4 0 1 0 2 0 0 1 1 0 0 3 2 0 1 1 1 0
"IMAN_1, SHALAT_1, ZAKAT_2, PUASA_1, HAJI_1",0.6291825536121366,0.6399999999999999,0.64,0.5083615779876709,3 3 3 2 4 3 3 0 0 0 2 2 0 0 2 1 0 0 3 0 1 1 2 3 3 1 0 2 0 0 0 1 0 1 0 2 2 0 3 2 0 0 0 1 2 1 2 1 2 0 1 2 1 1 1 1 1 1 1 1 1 1 2 4 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 4 1 1 0 4 4 1 4 1 1 1 3 2 3 2 2 2 2 4 3 2 2 1 2 2 2 2 2 2 2 4 2 4 2 4 3 3 4 0 2 0 1 4 2 2 3 3 3 2 2 2 4 3 2 2 3 1 3 3 4 2 2 0 3 3 3 2 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 4 4 3 4 3 3 3 1 3 3 3 3 3 3 3 3 3 4 4 3 0 4 2 4 3 4 4 4 4 4 4 4 4 3 1 3 1 4 4 3 3 4 4 4 4 4 4 4 3 4 4 1 3 4 4 4 4 4 4 4 4 4 3 4 4 4 3,0.41411799562979157,0.416,0.016,4.425161600112915,1 1 1 1 1 2 1 2 1 4 1 1 4 2 1 2 4 1 1 3 3 0 4 1 4 3 4 4 2 4 4 2 4 2 3 4 4 4 4 4 2 4 4 3 4 4 4 4 4 4 3 4 3 0 2 2 0 4 4 4 0 2 4 2 3 0 4 4 2 2 0 0 2 0 3 0 3 2 2 3 2 0 2 0 4 4 4 4 3 2 2 4 3 0 0 0 0 2 3 1 1 1 1 1 4 1 1 1 1 1 0 0 4 4 4 0 1 1 0 0 0 1 0 1 1 2 2 0 4 4 0 1 1 0 0 0 0 0 1 1 0 0 1 1 3 0 0 1 0 1 4 0 0 1 0 0 1 1 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 0 0 4 0 1 0 0 0 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 0 0 0 0 2 2 1 1 1 1 0 1 2 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 2 0 1 0 0 0 1
