001:001-004	hak untuk allah, segala pujian hanya untuk allah yang memiliki kekuasaan yang sifat kemahaagungan
001:005-005	hak allah untuk diibadahi dan hak manusia untuk ditolong
001:006-007	hak manusia untuk ditunjukkan jalan yang lurus dan dihindarkan dari jalan yang sesat
002:001-005	ciri-ciri orang mukmin dan sikapnya untuk menerima al-quran tanpa rasa ragu-ragu sedikit pun
002:006-007	ciri-ciri orang kafir serta sikapnya terhadap al-quran dan senantiasa mengabaikan peringatan
002:008-020	ciri-ciri orang munafik dan sikapnya terhadap al-quran serta perumpamaan bagi mereka
002:021-022	perintah agar manusia hanya menyembah / beribadah kepada allah yang telah menciptakan manusia dan alam semesta
002:023-024	tantangan allah terhadap kaum musyrikin untuk membuat satu surat yang semisal al-quran, jika masih ragu akan kebenarannya
002:025-025	balasan bagi orang-orang yang beriman di surga yang penuh kenikmatan
002:026-027	perumpamaan-perumpamaan dalam al-quran dan hikmah-hikmahnya serta sikap orang yang beriman dan yang kafir
002:028-029	bukti-bukti kekuasaan allah yang menghidupkan, mematikan, dan menghidupkan kembali manusia; serta yang maha pencipta
002:030-039	penciptaan adam, manusia pertama dan penguasaannya di bumi; pembangkangan iblis dan godaannya terhadap manusia
002:040-046	beberapa perintah dan larangan allah kepada bani israil agar menjadi kaum yang bertakwa
002:047-060	peringatan allah kepada bani israil atas nikmat-nikmatnya yang telah diberikan, agar bersyukur dan mendapatkan petunjuk
002:061-062	pembalasan allah terhadap bani israil yang selalu durhaka dan melampaui batas; serta balasan bagi orang-orang yang beriman
002:063-066	pembalasan allah terhadap bani israil yang melanggar perjanjiannya dengan allah tentang kisah hari sabtu untuk ibadah
002:067-074	kisah penyembelihan sapi betina untuk menghidupkan sapi betina untuk menghidupkan orang yang mati terbunuh, guna ditanyai siapa pembunuhnya.
002:075-082	keimanan orang yahudi sukar sekali diharapkan di masa rasulullah, serta sikapnya yang suka mengubah isi al-kitab.
002:083-086	pengingkaran janji bani israil terhadap allah untuk beribadah kepadanya dan untuk berbuat baik kepada sesama manusia.
002:087-091	sikap orang yahudi terhadap para rasul allah dan kitab-kitab suci yang diturunkannya.
002:092-096	penyembahan bangsa yahudi terhadap anak sapi yang merupakan tanda kecenderungan mereka kepada harta benda.
002:097-101	memusuhi jibril berarti memusuhi allah yang mengutusnya dan yang ingkar kepada allah adalah orang-orang fasik.
002:102-103	tuduhan orang yahudi terhadap nabi sulaiman as sebagai nabi yang mengajarkan perbuatan sihir.
002:104-105	ketidaksopanan orang-orang yahudi terhadap nabi dan sahabat-sahabatnya jangan sampai ditiru oleh orang beriman.
